feature,mean_abs_shap
cat__Flow ID_172.16.0.1-192.168.10.50-55963-80-6,2.4548338886046134e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56148-80-6,2.4483858746498045e-07
cat__Flow ID_172.16.0.1-192.168.10.50-58826-80-6,2.421538849106179e-07
cat__Flow ID_172.16.0.1-192.168.10.50-59740-80-6,2.4136856069703476e-07
cat__Flow ID_172.16.0.1-192.168.10.50-14486-80-6,2.393248754358734e-07
cat__Flow ID_172.16.0.1-192.168.10.50-21133-80-6,2.3855796348032185e-07
cat__Flow ID_172.16.0.1-192.168.10.50-62087-80-6,2.3840717592079774e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56158-80-6,2.3820015400348965e-07
cat__ Source IP_23.61.187.27,2.0521621720089075e-07
cat__Flow ID_172.16.0.1-192.168.10.50-57297-80-6,2.041545735152011e-07
cat__Flow ID_172.16.0.1-192.168.10.50-20272-80-6,2.0306938275748744e-07
cat__ Source IP_75.98.9.196,2.0251643950704416e-07
cat__Flow ID_172.16.0.1-192.168.10.50-18336-80-6,1.9524959729327544e-07
cat__Flow ID_172.16.0.1-192.168.10.50-56208-80-6,1.930212904318795e-07
